stat,player,line,over,under
rushing_yards,Jacoby Brissett,10.5,-115,-110
rushing_yards,Drew Lock,8.5,-106,-118
passing_tds,Dak Prescott,1.5,-204,159
passing_tds,Jayden Daniels,1.5,126,-161
passing_yards,Dak Prescott,266.5,-112,-112
passing_yards,Jayden Daniels,223.5,-113,-111
receiving_yards,CeeDee Lamb,76.5,-114,-110
receiving_yards,George Pickens,64.5,-111,-113
receiving_yards,Terry McLaurin,54.5,-114,-110
receiving_yards,Stefon Diggs,49.5,-111,-113
receiving_yards,Ryan Flournoy,28.5,-115,-109
receiving_yards,Antonio Williams,27.5,-110,-114
receiving_yards,Jake Ferguson,26.5,-110,-114
receiving_yards,Javonte Williams,13.5,-106,-118
receiving_yards,Rachaad White,12.5,-118,-106
receptions,CeeDee Lamb,5.5,-128,101
receptions,Stefon Diggs,4.5,-118,-108
receptions,George Pickens,4.5,-112,-113
receptions,Terry McLaurin,4.5,112,-143
receptions,Jake Ferguson,3.5,113,-144
receptions,Ryan Flournoy,2.5,-117,-109
receptions,Javonte Williams,2.5,-103,-123
receptions,Antonio Williams,2.5,111,-142
receptions,Rachaad White,2.5,145,-186
rushing_yards,Javonte Williams,77.5,-112,-112
rushing_yards,Jacory Croskey-Merritt,53.5,-115,-110
rushing_yards,Jayden Daniels,35.5,-113,-111
rushing_yards,Rachaad White,21.5,-109,-115
rushing_yards,Emari Demercado,11.5,-110,-114
rushing_yards,Dak Prescott,8.5,-112,-112
passing_tds,Brock Purdy,1.5,-190,148
passing_tds,Malik Willis,0.5,-151,119
passing_yards,Brock Purdy,239.5,-111,-113
passing_yards,Malik Willis,179.5,-112,-112
receiving_yards,Mike Evans,49.5,-113,-111
receiving_yards,Christian McCaffrey,41.5,-109,-115
receiving_yards,George Kittle,40.5,-109,-115
receiving_yards,Caleb Douglas,38.5,-110,-114
receiving_yards,Deebo Samuel,33.5,-109,-116
receiving_yards,Malik Washington,32.5,-112,-112
receiving_yards,De'Von Achane,26.5,-115,-109
receiving_yards,Demarcus Robinson,25.5,-114,-110
receiving_yards,Greg Dulcich,22.5,-116,-108
receiving_yards,Chris Bell,19.5,-109,-116
receptions,Christian McCaffrey,4.5,-140,109
receptions,De'Von Achane,3.5,-157,123
receptions,Mike Evans,3.5,-131,102
receptions,George Kittle,3.5,-130,102
receptions,Malik Washington,3.5,109,-139
receptions,Deebo Samuel,3.5,126,-161
receptions,Caleb Douglas,2.5,-149,117
receptions,Greg Dulcich,2.5,108,-138
receptions,Demarcus Robinson,1.5,-156,122
