player_name,season,mp,raptor_offense,raptor_defense
Vernon Carey Jr.,2021,115,-4.69,1.66
Vernon Carey Jr.,2022,44,-5.73,-0.03
DeMarre Carroll,2020,296,-2.14,1.18
Jevon Carter,2020,945,-0.15,0.64
Jevon Carter,2021,739,0.08,-0.78
Jevon Carter,2022,1031,-1.61,-0.91
Michael Carter-Williams,2020,833,1.31,3.01
Michael Carter-Williams,2021,800,-4.28,3.35
Vince Carter,2020,876,-2.74,-1.21
Wendell Carter Jr.,2020,1256,-2.76,0.1
Wendell Carter Jr.,2021,1375,-2.93,1.26
Wendell Carter Jr.,2022,1852,-0.52,1.44
Alex Caruso,2020,1685,-1.38,3.81
Alex Caruso,2021,1337,-1.85,3.9
Alex Caruso,2022,1260,0.36,4.99
Willie Cauley-Stein,2020,1097,-3.96,4.67
Willie Cauley-Stein,2021,969,-2.31,2.65
Willie Cauley-Stein,2022,183,-4.64,-3.3
Ahmad Caver,2022,1,6.58,7.73
Justin Champagnie,2022,281,1.05,-0.77
Tyson Chandler,2020,219,-3.21,-0.63
Wilson Chandler,2020,734,-2.55,0.79
Joe Chealey,2020,33,-14.36,6.32
Zylan Cheatham,2020,51,-4.54,-9.21
Zylan Cheatham,2022,5,-34.63,-5.8
Chris Chiozza,2020,466,-0.47,1.2
Chris Chiozza,2021,251,1.34,0.82
Chris Chiozza,2022,372,-4.63,-1.58
Josh Christopher,2022,1334,-1.33,-2.72
Marquese Chriss,2020,1196,-1.67,1.18
Marquese Chriss,2021,27,-9.82,4.98
Marquese Chriss,2022,376,-3.71,-3.08
Brandon Clarke,2020,1300,0.21,0.73
Brandon Clarke,2021,1424,-1.31,1.66
Brandon Clarke,2022,1542,1.32,1.69
Gary Clark,2020,711,-1.15,-1.53
Gary Clark,2021,654,-3.15,-2.02
Gary Clark,2022,378,-0.39,-0.51
Jordan Clarkson,2020,1905,2.74,-1.85
Jordan Clarkson,2021,2116,3.32,-1.26
Jordan Clarkson,2022,2311,2.8,-0.39
Nicolas Claxton,2020,187,-3.17,1.24
Nicolas Claxton,2021,724,-2.05,7.08
Nic Claxton,2022,1072,-1.36,1.64
Chris Clemons,2020,299,-1.85,-2.15
Antonius Cleveland,2020,55,-6.52,-2.99
Amir Coffey,2020,166,-1.14,-1.96
Amir Coffey,2021,410,-2.96,0.08
Amir Coffey,2022,1567,0.26,-0.88
Darren Collison,2022,37,-7.99,-9.47
John Collins,2020,1363,0.0,-0.38
John Collins,2021,2424,1.84,0.87
John Collins,2022,1785,0.54,0.68
Zach Collins,2020,290,-1.14,1.43
Zach Collins,2022,502,-3.26,-0.05
Mike Conley,2020,1528,1.36,-1.56
Mike Conley,2021,1674,4.18,2.91
Mike Conley,2022,2232,2.06,1.17
Pat Connaughton,2020,1414,-1.19,0.47
Pat Connaughton,2021,2121,0.21,1.57
Pat Connaughton,2022,2009,0.6,0.23
Quinn Cook,2020,532,-1.69,-2.96
Quinn Cook,2021,157,-0.79,-3.52
Tyler Cook,2020,58,-1.84,-2.64
Tyler Cook,2021,438,-3.54,-3.55
Tyler Cook,2022,200,-4.35,-1.05
Sharife Cooper,2022,39,-18.42,-4.92
Petr Cornelie,2022,38,-6.61,-0.68
DeMarcus Cousins,2021,771,-1.22,2.79
DeMarcus Cousins,2022,775,0.73,2.04
Robert Covington,2020,2516,-0.29,2.02
Robert Covington,2021,2471,-0.14,2.62
Robert Covington,2022,1940,-0.73,2.64
Allen Crabbe,2020,653,-3.17,-3.64
Torrey Craig,2020,1447,-0.67,-1.46
Torrey Craig,2021,1069,-0.56,-0.74
Torrey Craig,2022,1665,-2.24,0.04
Jamal Crawford,2020,6,26.41,-8.34
Jae Crowder,2020,2535,0.38,-0.62
Jae Crowder,2021,2377,0.46,2.99
Jae Crowder,2022,2269,-0.4,1.58
Jarrett Culver,2020,1506,-2.51,-1.26
Jarrett Culver,2021,499,-5.42,1.07
Jarrett Culver,2022,360,-3.29,-0.06
