season,game_id,team,passer_player_id,n,epa,name
2019,2019_04_CIN_PIT,PIT,00-0034331,3,1.9826908117393032,J.Samuels
2019,2019_04_CIN_PIT,PIT,00-0034771,28,15.115513170603663,M.Rudolph
2019,2019_04_CLE_BAL,BAL,00-0034796,38,-1.755175004250864,L.Jackson
2019,2019_04_CLE_BAL,CLE,00-0031235,1,-0.45141149079427123,O.Beckham
2019,2019_04_CLE_BAL,CLE,00-0034855,32,14.887906034448655,B.Mayfield
2019,2019_04_DAL_NO,DAL,00-0033077,33,2.033156991500548,D.Prescott
2019,2019_04_DAL_NO,NO,00-0031237,35,-7.748189229201381,T.Bridgewater
2019,2019_04_JAX_DEN,DEN,00-0026158,38,4.681225194146818,J.Flacco
2019,2019_04_JAX_DEN,JAX,00-0035289,38,3.07527083142683,G.Minshew
2019,2019_04_KC_DET,DET,00-0026498,38,4.878112213468005,M.Stafford
2019,2019_04_KC_DET,KC,00-0033873,42,9.033451291520716,P.Mahomes
2019,2019_04_LAC_MIA,LAC,00-0022942,31,20.413421136008992,P.Rivers
2019,2019_04_LAC_MIA,LAC,00-0028118,1,1.1148185852216557,T.Taylor
2019,2019_04_LAC_MIA,MIA,00-0034343,28,-3.7953294080269377,J.Rosen
2019,2019_04_LAC_MIA,MIA,00-0035350,1,-0.9268504946958274,P.Williams
2019,2019_04_MIN_CHI,CHI,00-0026544,31,6.6673351100929015,C.Daniel
2019,2019_04_MIN_CHI,CHI,00-0033869,3,0.24888186040334404,M.Trubisky
2019,2019_04_MIN_CHI,MIN,00-0029604,43,-10.096219994462327,K.Cousins
2019,2019_04_NE_BUF,BUF,00-0030533,17,-2.2074164889054373,M.Barkley
2019,2019_04_NE_BUF,BUF,00-0034857,31,-17.285171040424483,J.Allen
2019,2019_04_NE_BUF,NE,00-0019596,39,-15.861764478959973,T.Brady
2019,2019_04_OAK_IND,IND,00-0033119,46,1.6171189212002037,J.Brissett
2019,2019_04_OAK_IND,LV,00-0031280,32,7.454986670559107,D.Carr
2019,2019_04_PHI_GB,GB,00-0023459,53,13.343624228164611,A.Rodgers
2019,2019_04_PHI_GB,PHI,00-0032950,28,7.444635642299661,C.Wentz
2019,2019_04_SEA_ARI,ARI,00-0035228,36,-8.288578021645819,K.Murray
